4rever;forever
9vidades;novidades
aa;a
aaa;a
aaaa;a
aaaaa;a
aaaaaa;a
aaaaaaa;a
aaaaaaaa;a
aaaaaaaaa;a
aaaaaaaaaa;a
aaaaaah;a
aasim;assim
abç;abraço
abilitar;habilitar
abri;abrir
absursdooo;absurdo
açeçar;acessar
aceder;acender
actualização;atualização
adapitador;adaptador
adc;adicionar
add;adicionar
ae;aí
aêê;aí
aew;e aí
aff;desapontante
affff;desapontante
affs;desapontante
agg;agora
agulmas;algumas
ahaha;risos
aham;sim
ahua;risada
ajudsr;ajudar
ajute;ajuste
akbo;acabou
akele;aquele
aki;aqui
alem;além
algu;algum
alguem;alguém
algums;alguns
alquem;alguém
alterassaum;alteração
altomatica;automática
amasenar;armazenar
amgo;amigo
amour;amor
amul;amo
anaum;anão
anju;anjo
ap;aplicativo
aparese;aparece
apartir;a partir
apior;a pior
apk;aplicativo
aplicarivos;aplicativos
apo;aplicativo
app;aplicativo
apps;aplicativos
aq;aqui
aqê;aqui
aquento;aguento
arabe;árabe
arkivu;arquivo
aruma;arruma
arumem;arrumem
asho;acho
ashu;acho
assistebte;assistente
assistencia;assistência
assistenti;assistente
assitente;assistente
at+;até mais tarde
ate;até
ativacao;ativação
ativalo;ativa o
atras;atrás
atualisa;atualiza
atualizacoe;atualizações
atuvando;ativando
aver;haver
axa;acha
axu;acho
baichar;baixar
baixalo;baixar ele
bashando;baixando
baum;bom
baxin;baixinho
bb;bebê
bbeu;bebeu
beim;bem
bgd;obrigado
bikim;biquinho
bikini;biquine
bilhetin;bilhetinho
bj;beijo
blz;beleza
bora;embora
botao;botão
boua;boa
brig´s;obrigado
brink´s;brincadeira
brinquedin;brinquedinho
btf;tenho fé
butão;botão
bv;boca virgem
c;você
calmin;calmo
cancei;cansei
caracow;caraca
caxorro;cachorro
cda;cada
cê;você
cedaum;muito cedo
cel;celular
cell;celular
celula;celular
cendo;sendo
ceu;meu
chaaato;chato
chegay;cheguei
choranu;chorando
clike;clique
cll;celular
cllr;celular
cllrs;celulares
cmg;comigo
cnte;conte
cntg;contigo
coice;voice
colok;colocar
coment's;comentário
comg;comigo
compativel;compatível
complikadu;complicado
comsico;consigo
comsigo;consigo
comsigou;consigo
concertem;consertem
conciemcia;consciência
conexao;conexão
configuracoes;configurações
configurarar;configurar
conheçe;conhece
conkistô;consquistou
conpativel;compatível
consentem;consertem
consigui;consegui
consiguindo;conseguindo
conssigo;consigo
conte;conte
conversssa;conversa
coretamente;corretamente
corguin;córrego
correctamente;corretamente
correspondencias;correspondências
covard;covarde
cpm;com
craq;craque
cruzis;cruzes
cs;vocês
ct;certeza
ctz;certeza
ctza;certeza
cuando;quando
culete;colete
cumé;como é
cunhesu;conheço
cursin;cursinho
cv;conversa
cvard;covarde
cvs;conversar
d;de
d+;demais
dakeê;daqui
dakeles;daqueles
daki;daqui
daqle;daquele
daulowd;download
decha;deixa
dels;deus
demorô;demorou
denovo;de novo
deol;deu
deprê;depressão
derrepente;de repente
derror;terror
desbroqueia;desbloqueia
descepcionante;decepcionante
desemvolvedores;desenvolvedores
desestalar;desinstalar
desgrama;desgraça
deshar;deixar
desitalar;desinstalar
deskbelada;descabelada
despois;depois
desponiel;disponível
desponivel;disponível
desponiveo;disponível
detali;detalhe
deviser;deve ser
dexha;deixa
di;dei
digitai;digital
dinovo;dinovo
diponivel;disponível
direitin;direitinho
dirijir;dirigir
dis;diz
disendo;dizendo
disgraça;desgraça
disistalar;desinstalar
disponiveis;disponíveis
disponivel;disponível
dispotivo;dispositivo
dizerok;dizer ok
dmais;demais
dms;demais
dnda;de nada
dnv;de novo
docih;doce
donada;do nada
dowload;download
downloand;download
dp;depois
dpois;depois
dps;depois
dr;doutor
dra;doutora
duenti;duente
dunada;do nada
dus;dos
dusponibilizar;disponibilizar
eh;é
eli;ele
elrs;eles
emfim;enfim
enqt;enquanto
ensaiu;ensaio
ent;então
entao;então
entaum;então
entenderok;entender ok
enterrey;enterrei
eol;eu
eoq;é o que
er;é
esguta;escuta
eskeçe;esquece
espantey;espantei
esqêci;esqueci
estalar;instalar
estavo;estava
etaa;está
excluida;excluída
explike;explique
expliku;explico
facam;façam
facto;fato
facul;faculdade
fais;faz
falô;falou
fan;fã
fasa;faça
fcd;fica com deus
fdp;filho da puta
fds;fim de semana
feze;fazer
fi;filho
ficauma;fica uma
fik;fica
fikei;fiquei
fikr;ficar
fikva;ficava
find;fim de semana
fjica;fica
fka;fica
fl;falo
flei;falei
flw;falou
fmz;firmeza
forum;fórum
fossi;fosse
frequencia;frequência
ft;foto
fuciona;funciona
fucione;funcione
funcion;funciona
funcionaa;funciona
funcionaar;funcionar
funcoes;funções
futs;futsal
fzr;fazer
gatchenha;gatinha
gateenha;gatinha
gatinhu;gatinho
gnt;gente
gogle;google
googlo;google
goole;google
gravas;gravar
grazadels;graças a deus
h;hora
hahaha;gargalhada moderada
hehehe;risada
hein;em
hj;hoje
hoji;hoje
horivel;horrível
horriveeeeel;horrível
hoten;ontem
hr;hora
huahuahua;gargalhada escandalosa
hum;receio
humm;receio
idd;idade
idica;indica
idio;idioma
impossivel;impossível
ineskecivel;inesquecível
infelismente;infelizmente
infelix;infeliz
informacoes;informações
informadaporvarias;informada por várias
ingles;inglês
ingto;ingrato
instalad;instalado
instele;instale
intalar;instalar
intaum;então
inté;até
intendo;entendo
intndndu;entendendo
iportante;importante
iso;isso
issu;isso
istala;instala
istalla;instala
istorico;histórico
ja;já
jah;já
jente;gente
kbça;cabeça
kbelo;cabelo
kd;cadê
kda;cada
ke;que
kero;quero
ki;que
kietin;quieto
kinta;quinta
kis;quis
kiser;quiser
kkk;gargalhada
kkkkkkkk;risos
kkkkkkkkkk;risos
kra;cara
kração;coração
ksa;casa
kvard;covarde
lanxi;lanche
le;ler
legalll;legal
legalz;legal
lgl;legal
ligacao;ligação
ligacoes;ligações
limpesar;limpeza
lixoooooooo;lixo
Lixoooooooooooooooooooooo;lixo
logiko;lógico
logonque;logo que
lokura;loucura
lol;risada
longi;longe
mae;mãe
magine;imagine
mai;mais
maix;mais
majia;magia
makina;máquina
marka;marca
matricula;matrícula
mds;meu deus
mdu;meu
mea;me
mechomou;me chamou
mei;meu
mej;meu
meldels;meu deus
meliiores;melhores
mels;meus
memoria;memória
mensagengem;mensagem
meo;meu
mermo;mesmo
mierda;merda
miga;amiga
migz;amigas
mimi;dormir
mitira;mentira
mlk;muleque
mlke;muleque
mô;amor
mooh;amor
morenin;moreninho
moziin;amorzinho
mrsmo;mesmo
msg;mensagem
mskinha;musiquinha
msm;mesmo
mt;muito
mto;muito
muinto;muito
mulek;muleque
musica;música
musicaaaaaaaaaaaaaaaaaaa;música
musicaaaah;música
musicas;músicas
muuuuuuuito;muito
n;não
ñ;não
naa;não
nadaaa;nada
nadaz;nada
nads;nada
namo;namorado
nao;não
nãp;não
nau;não
naum;não
nd;nada
nda;nada
ne;não é
né;não é
nececidade;necessida
necessario;necessário
nenhumm;nenhum
nenhun;nenhum
nese;nesse
nest;neste
net;internet
ng;ninguém
ngm;ninguém
niver;aniversário
nn;não
noês;nós
nogocio;negócio
noiti;noite
noix;nós
noutros;em outros
novamete;novamente
novis;novidades
nu;no
numeros;números
nunk;nunca
nuss;nossa
ô;que
obg;obrigado
obgda;obrigada
obrigatorio;obrigatório
obv;óbvio
oc;você
odio;ódio
ódiooooooo;ódio
okay;tudo certo
opcaoOK;opção ok
opcoes;opções
oque;o que
orcut;orkut
orivel;horrível
orrivel;horrível
ospital;hospital
otimo;ótimo
ouyras;outras
oxiii;espanto
p;para
pa;para
paishão;paixão
paliaçada;palhaçada
paraachar;para achar
paraeu;para eu
parecenu;parecendo
pasaar;passar
pc;computador
pdc;pode crer
pde;pode
perfoh;perfeito
perfuntas;perguntas
periodo;período
pesimo;péssimo
pesoas;pessoas
pess;pessoal
pessao;pessoa
pessimo;péssimo
pessisamos;precisamos
pessoalacabei;pessoal acabei
pf;por favor
pfv;por favor
pfvr;por favor
pioro;piorou
pkna;pequena
pkno;pequeno
pley;play
plmdds;pelo amor de deus
plmds;pelo amor de deus
poderwm;poderiam
podexá;pode deixar
poha;porra
poise;pois é
poka;pouca
pokin;pouquinho
porcariaaaa;porcaria
porem;porém
porfavor;por favor
poriso;por isso
porisso;por isso
porq;porque
portugues;português
pos;após
pose;pois é
pouku;pouco
poxa;aborrecimento
pq;porque
pqê;por quê
pqp;puta que pariu
pra;para
precisk;precisa
presciso;preciso
presica;presisa
presisa;precisa
presiso;preciso
pressisa;precisa
prexiso;preciso
principi;príncipe
proble;problema
probleminha;problema
procurá;procurar
prof;professor
profa;professora
propoe;propõe
proprio;próprio
prs;para
pt;português
pueira;poeira
pufavô;por favor
pulus;pulos
purke;porque
pusha;puxar
pwga;pega
q;que
qando;quando
qd;quando
qdo;quando
qdô;vide qdo
qê;que
ql;qual
qlqr;qualquer
qm;quem
qndo;quando
qnto;quanto
qnudo;quando
qq;qualquer
qquiero;quero
qrendo;querendo
qria;queria
qro;quero
qse;quase
qto;quanto
quaç;qual
quei;quem
quiança;criança
qulquer;qualquer
qur;que
qze;quase
qzr;quizer
r;are
radio;rádio
raivaaaaa;raiva
raivaaaaaaa;raiva
rapá;rapaz
rapido;rápido
rasho;arraso
rem;tem
respota;resposta
ressolvão;resolvão
revlamacoes;reclamações
rox;agitou muito
rs;risos
ru;eu
rui;ruim
ruin;ruim
s;sim
saben;sabem
saite;site
santin;santo
sãp;são
sddz;saudades
seemestre;semestre
selulares;celulares
sensivel;sensível
seol;seu
sera;será
serin;sério
serio;sério
serto;certo
servics;serviços
shamar;chamar
shegou;chegou
shuver;chover
si;se
sigga;sigaa
sinhê;sim
siste;sistema
smp;sempres
so;só
soh;só
solidariu;solidário
sonin;soninho
soque;só que
soutero;solteiro
sqn;só que não
sstá;está
stóra;estoura
stranho;estranho
sutaque;sotaque
sux;algo ruim
t+;até mais
ta;está
tá;está
tadin;coitadinho
tah;está
tambem;também
tanbem;também
taum;estão
tava;estava
tb;também
tbm;também
tc;teclar
td;tudo
tdb;tudo bom
tdo;tudo
tds;todos
té +;até mais
tedeado;tediante
teim;tem
telefoni;telefone
tempão;tempo
tempooo;tempo
temque;tem que
tenque;tem que
tentaivas;tentativas
terrivel;terrível
thi;te
tipow;tipo
to;estou
tô;estou
tomey;tomei
toooop;top
topicos;tópicos
tou;estou
tp;tipo
trais;traz
trankei;tranquei
trankilidade;tranquilidade
trapalho;atrapalho
u;you
umiliá;humilhar
usarrr;usar
usen;usem
ussar;usar
uwebe;web
v6;vocês
varios;vários
vc;você
vcs;vocês
vdd;verdade
veix;vez
veiz;vez
verçao;versão
versao;versão
veses;vezes
vesis;vezes
vest;vestibular
vg;vírgula
video;vídeo
virô;virou
vlw;valeu
voces;vocês
voçes;vocês
voisas;coisas
volc;você
voley;vôlei
voltey;voltei
vos;voz
vsf;vai se f***
vzs;vezes
xau;tchau
xaudade;saudade
xegô;chegou
xeid;cheio de
xênte;gente
xeru;cheiro
xorar;chorar
xover;chover
